tr_index,time,spectral_flux,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,fundamental_frequency,rms_energy_db,category,is_music,is_silence,is_speech,is_speech_music
795,1193.2502494331065,-0.0057265356244379124,-0.106907688297251,-0.7831659685830143,-0.491274452835542,0.8431194866889039,0.25511952814371475,0.3871944030564061,0.07496963307686103,0.3747341321333349,0.8955455606357324,0.12578652429298723,0.7201372755161402,0.08875892849271945,-0.242714185802608,1.0432891482484226,-0.4047165057861431,-0.6756909441115141,speech,False,False,True,False
796,1194.7479365079364,-0.21469457877783002,-0.35515339567592696,-1.1494179173108092,-0.7117755774483081,0.6525646817362398,0.149228048576325,0.09485421025747921,0.0768511022346303,1.2502309446870001,1.6785995228026827,0.41936105393134493,1.0823589716973012,0.692937364593958,0.4828149005323958,1.5769938522347486,-0.742769274651265,-1.3021979509575126,speech,False,False,True,False
797,1196.2456235827665,-0.5167473442736361,-0.8490272684350441,-1.5040508587045398,-0.6066646364043269,0.3368536864247412,-0.021578542208876623,0.02675513290449385,0.46411297867845164,1.8497593901115483,1.8531469505487097,0.8478988970302079,1.4948625585724256,1.1135080370298447,1.161399359720042,2.079824066773116,-0.9743330778600364,-1.824809839562413,silence,False,True,False,False
798,1197.7549206349206,-0.5077925955943391,-0.9455629823177937,-1.3871319516340002,-0.2813505087978714,0.33303891676387415,0.10657712794792913,0.1729297470915258,0.6630950158795822,1.8117326453394589,1.5607980831656403,1.0581175886076113,1.4306130751500823,0.9551613365895028,1.0542942998277716,2.0083725448258702,-1.03765356404954,-1.6588512565735785,silence,False,True,False,False
799,1199.2526077097505,-0.22454628271212354,-0.6811842931889165,-1.0541419016219353,-0.021651661699023144,0.6292036491048515,0.365608697403932,0.4413246199414987,0.5978566461064228,1.2692509217066603,1.0574276593304381,0.9848680037329353,0.8143868211739123,0.3102814883531231,0.4764391487423519,1.5307873960056617,-1.013557316146618,-1.3189446328357899,silence,False,True,False,False
800,1200.7502947845805,-0.6342374554630782,-0.9284459628070385,-1.2526413905749245,0.09660014276558797,0.6714365820594337,0.47924714074264924,0.8039655803696389,0.8488587215538737,1.106218996622873,0.9782234543791768,1.0775514613249901,0.5567845136361372,0.06740055430065235,0.3692103675736944,1.6605414435668342,-0.9493260229967287,-2.246653876186381,silence,False,True,False,False
801,1202.2479818594104,-1.6447860899695523,-1.6850359889024105,-1.8603476596780166,0.18064778839333642,0.3952651194253575,0.4551735205811928,1.0893854939528251,1.335821799095933,1.4729313801864174,1.3708340859804744,1.3940574557269438,0.9199299974571984,0.42992422735380875,0.7859900227676486,2.249737996476006,-0.845663449451363,-3.9335231563438318,speech,False,False,True,False
802,1203.7456689342405,-2.374164406706116,-2.2493846594056235,-2.1775267580354134,0.396947829206776,0.23055062190408251,0.4538121503058694,1.1540918721444458,1.6218306559361566,1.8744337216403748,1.722534143000907,1.5095307548283816,1.2276945932424574,0.7286895581918769,1.0418320016459899,2.299337654123317,-0.5843993385296046,-4.440021469892262,speech,False,False,True,False
803,1205.2549659863944,-2.5362788131246243,-2.3784988769449624,-2.1636572201951583,0.47943646123157774,0.06407826415919095,0.26242510003508845,0.9425561676592149,1.5952855217971416,2.0091093950956815,1.9128806899946427,1.5956294075761115,1.481504535679446,0.9786664022384016,1.1444158579742183,2.069284215592359,-0.41509550447313553,-3.990109325517824,silence,False,True,False,False
804,1206.7526530612245,-1.9214902173491037,-1.6978017783122605,-1.6631332275064539,0.007710558218898654,-0.3007729925330443,-0.39517433121037115,0.2172198701642555,1.2323352940945522,1.4496690882032244,1.7506296336237115,1.773734928843046,1.4830482391039002,1.3409481128461807,1.260297001862971,1.7318486133338544,-0.3944460540909625,-2.4275695557797827,speech,False,False,True,False
